age,gender,#
0,0,5236
0,1,4805
1,0,5037
1,1,4774
2,0,4821
2,1,4495
3,0,4582
3,1,4348
4,0,4471
4,1,4204
5,0,3726
5,1,3915
6,0,3827
6,1,3793
7,0,3494
7,1,3294
8,0,3105
8,1,3092
9,0,2847
9,1,3005
10,0,2912
10,1,3097
11,0,2998
11,1,2958
12,0,2886
12,1,2919
13,0,2770
13,1,2912
14,0,2967
14,1,3046
15,0,3026
15,1,3315
16,0,3046
16,1,3534
17,0,3248
17,1,3808
18,0,3430
18,1,3934
19,0,3817
19,1,4252
20,0,4454
20,1,4695
21,0,4858
21,1,4928
22,0,4736
22,1,4829
23,0,5021
23,1,4889
24,0,4867
24,1,5112
25,0,5418
25,1,5378
26,0,5289
26,1,5171
27,0,5019
27,1,4900
28,0,4922
28,1,4912
29,0,4724
29,1,4627
30,0,4078
30,1,4084
31,0,4496
31,1,4183
32,0,3813
32,1,3750
33,0,3167
33,1,3361
34,0,3662
34,1,3637
35,0,3391
35,1,3615
36,0,3302
36,1,3448
37,0,2836
37,1,2953
38,0,2695
38,1,2914
39,0,2929
39,1,2865
40,0,2187
40,1,2213
41,0,2699
41,1,2748
42,0,2160
42,1,2528
43,0,2214
43,1,2572
44,0,1801
44,1,2104
45,0,1862
45,1,2142
46,0,1740
46,1,2318
47,0,1716
47,1,2138
48,0,1719
48,1,2065
49,0,1553
49,1,1843
50,0,1294
50,1,1597
51,0,1559
51,1,1793
52,0,1237
52,1,1556
53,0,1304
53,1,1514
54,0,1020
54,1,1203
55,0,988
55,1,1224
56,0,874
56,1,1089
57,0,913
57,1,1091
58,0,816
58,1,1019
59,0,940
59,1,955
60,0,574
60,1,585
61,0,628
61,1,692
62,0,462
62,1,558
63,0,478
63,1,524
64,0,394
64,1,450
65,0,333
65,1,401
66,0,228
66,1,326
67,0,180
67,1,281
68,0,218
68,1,308
69,0,191
69,1,306
70,0,156
70,1,229
71,0,219
71,1,386
72,0,121
72,1,192
73,0,119
73,1,151
74,0,123
74,1,133
75,0,83
75,1,159
76,0,52
76,1,111
77,0,69
77,1,102
78,0,59
78,1,103
79,0,58
79,1,96
80,0,39
80,1,60
81,0,48
81,1,120
82,0,31
82,1,71
83,0,26
83,1,58
84,0,20
84,1,49
85,0,19
85,1,31
86,0,7
86,1,45
87,0,20
87,1,24
88,0,11
88,1,24
89,0,13
89,1,26
90,0,4
90,1,28
91,0,11
91,1,23
92,0,7
92,1,6
93,0,12
93,1,31
94,0,2
94,1,3
95,0,1
95,1,3
96,0,0
96,1,6
97,0,4
97,1,2
98,0,1
98,1,2
99,0,1
99,1,1
100,0,1
100,1,0
101,0,2
101,1,3
102,0,0
102,1,2
103,0,1
103,1,2
104,0,4
104,1,1
105,0,1
105,1,1
106,0,1
106,1,0
107,0,0
107,1,1
108,0,1
108,1,2
109,0,4
109,1,2
110,0,1
110,1,2
111,0,0
111,1,1
112,0,0
112,1,0
113,0,0
113,1,0
114,0,0
114,1,0
115,0,1
115,1,1
116,0,0
116,1,0
117,0,0
117,1,1
118,0,0
118,1,0
119,0,0
119,1,0
120,0,0
120,1,0
